
Sales Person,Geography,Product,Date,Amount,Boxes,
Jehu Rudeforth,USA,Eclairs,20/10/2021,"$4,165 ",695,
Beverie Moffet,USA,50% Dark Bites,20/10/2021,"$6,307 ",243,
Brien Boise,UK,Baker's Choco Chips,20/10/2021,"$1,106 ",51,
Karlen McCaffrey,India,Baker's Choco Chips,20/10/2021,"$1,610 ",68,
Roddy Speechley,Canada,50% Dark Bites,20/10/2021,"$3,710 ",143,
Jehu Rudeforth,Australia,Manuka Honey Choco,20/10/2021,"$7,259 ",316,
Gunar Cockshoot,India,50% Dark Bites,20/10/2021,"$5,523 ",205,
Husein Augar,UK,99% Dark & Pure,20/10/2021,"$2,121 ",97,
Marney O'Breen,USA,Milk Bars,20/10/2021,"$3,227 ",202,
Dennison Crosswaite,USA,Fruit & Nut Bars,20/10/2021,"$2,905 ",194,
Brien Boise,New Zealand,Spicy Special Slims,20/10/2021,"$1,827 ",229,
Gigi Bohling,New Zealand,70% Dark Bites,20/10/2021,$987 ,110,
Barr Faughny,Canada,After Nines,20/10/2021,"$7,056 ",392,
Jan Morforth,New Zealand,Milk Bars,20/10/2021,"$5,579 ",372,
Mallorie Waber,India,50% Dark Bites,20/10/2021,"$7,350 ",273,
Kelci Walkden,UK,Mint Chip Choco,20/10/2021,"$22,358 ",1890,
Barr Faughny,USA,Milk Bars,20/10/2021,$665 ,42,
Wilone O'Kielt,Canada,Spicy Special Slims,20/10/2021,$798 ,89,
Curtice Advani,New Zealand,Choco Coated Almonds,20/10/2021,"$5,558 ",556,
Beverie Moffet,India,Almond Choco,20/10/2021,"$6,818 ",455,
Husein Augar,Canada,Peanut Butter Cubes,20/10/2021,"$9,303 ",548,
Roddy Speechley,India,Almond Choco,20/10/2021,"$2,940 ",196,
Husein Augar,India,Spicy Special Slims,20/10/2021,$546 ,61,
Beverie Moffet,UK,Eclairs,20/10/2021,"$8,001 ",980,
Mallorie Waber,Canada,Choco Coated Almonds,20/10/2021,"$10,052 ",980,
Gigi Bohling,Canada,99% Dark & Pure,20/10/2021,"$1,449 ",63,
Beverie Moffet,New Zealand,Drinking Coco,20/10/2021,"$3,710 ",149,
Wilone O'Kielt,UK,Eclairs,20/10/2021,"$2,576 ",368,
Gunar Cockshoot,Australia,Manuka Honey Choco,20/10/2021,"$4,242 ",193,
Madelene Upcott,Australia,Manuka Honey Choco,20/10/2021,"$2,527 ",110,
Camilla Castle,USA,Orange Choco,20/10/2021,"$10,255 ",570,
Jehu Rudeforth,USA,Organic Choco Syrup,20/10/2021,"$1,365 ",57,
Ches Bonnell,USA,50% Dark Bites,20/10/2021,"$1,358 ",51,
Kelci Walkden,Canada,50% Dark Bites,20/10/2021,"$2,443 ",94,
Ches Bonnell,India,85% Dark Bars,20/10/2021,"$2,856 ",159,
Madelene Upcott,Australia,White Choc,20/10/2021,"$1,477 ",135,
Beverie Moffet,USA,After Nines,21/10/2021,"$1,323 ",74,
Roddy Speechley,UK,Drinking Coco,21/10/2021,"$7,371 ",295,
Jan Morforth,USA,After Nines,21/10/2021,"$4,718 ",278,
Ches Bonnell,Australia,Drinking Coco,21/10/2021,"$2,114 ",79,
Jan Morforth,Australia,Choco Coated Almonds,21/10/2021,"$11,032 ",980,
Rafaelita Blaksland,USA,Organic Choco Syrup,21/10/2021,"$1,680 ",74,
Andria Kimpton,UK,Fruit & Nut Bars,21/10/2021,$770 ,52,
Camilla Castle,Canada,85% Dark Bars,21/10/2021,"$1,106 ",56,
Brien Boise,USA,Raspberry Choco,21/10/2021,"$3,612 ",172,
Barr Faughny,Australia,Manuka Honey Choco,21/10/2021,"$1,687 ",81,
Van Tuxwell,UK,Peanut Butter Cubes,21/10/2021,"$6,797 ",378,
Jehu Rudeforth,USA,Orange Choco,21/10/2021,"$12,908 ",646,
Rafaelita Blaksland,New Zealand,Mint Chip Choco,21/10/2021,"$4,886 ",376,
Wilone O'Kielt,New Zealand,Organic Choco Syrup,22/10/2021,"$3,136 ",131,
Roddy Speechley,UK,85% Dark Bars,22/10/2021,$434 ,22,
Dennison Crosswaite,India,Milk Bars,22/10/2021,"$1,771 ",119,
Husein Augar,Canada,Organic Choco Syrup,22/10/2021,"$6,783 ",309,
Gigi Bohling,India,70% Dark Bites,22/10/2021,"$2,660 ",380,
Oby Sorrel,Australia,After Nines,22/10/2021,"$6,293 ",350,
Kelci Walkden,UK,50% Dark Bites,22/10/2021,"$8,442 ",338,
Jan Morforth,Australia,Baker's Choco Chips,22/10/2021,"$9,107 ",380,
Brien Boise,USA,Drinking Coco,22/10/2021,$371 ,15,
Kaine Padly,New Zealand,Fruit & Nut Bars,22/10/2021,"$5,432 ",388,
Marney O'Breen,India,Choco Coated Almonds,22/10/2021,$581 ,53,
Marney O'Breen,New Zealand,Caramel Stuffed Bars,22/10/2021,$805 ,48,
Karlen McCaffrey,India,Fruit & Nut Bars,22/10/2021,"$7,497 ",500,
Camilla Castle,Canada,After Nines,22/10/2021,"$3,990 ",250,
Barr Faughny,New Zealand,70% Dark Bites,22/10/2021,$294 ,42,
Ches Bonnell,UK,Manuka Honey Choco,22/10/2021,"$5,215 ",238,
Dennison Crosswaite,Australia,Fruit & Nut Bars,22/10/2021,"$8,925 ",595,
Marney O'Breen,India,Peanut Butter Cubes,22/10/2021,"$4,746 ",250,
Jehu Rudeforth,India,50% Dark Bites,22/10/2021,"$10,269 ",381,
Brien Boise,New Zealand,Fruit & Nut Bars,22/10/2021,"$5,383 ",385,
Marney O'Breen,New Zealand,Orange Choco,22/10/2021,"$7,889 ",439,
Barr Faughny,India,Raspberry Choco,22/10/2021,"$6,300 ",315,
Kaine Padly,UK,Raspberry Choco,22/10/2021,"$7,455 ",373,
Van Tuxwell,New Zealand,After Nines,22/10/2021,"$10,843 ",603,
Barr Faughny,Canada,White Choc,22/10/2021,"$3,829 ",349,
Marney O'Breen,Australia,After Nines,22/10/2021,"$1,806 ",107,
Beverie Moffet,India,50% Dark Bites,22/10/2021,"$5,159 ",192,
Beverie Moffet,New Zealand,Almond Choco,22/10/2021,"$7,749 ",485,
Karlen McCaffrey,UK,Raspberry Choco,22/10/2021,"$7,210 ",361,
Beverie Moffet,Canada,70% Dark Bites,22/10/2021,"$11,781 ",1680,
Jehu Rudeforth,India,Baker's Choco Chips,22/10/2021,"$1,785 ",82,
Beverie Moffet,Canada,Manuka Honey Choco,22/10/2021,"$4,837 ",220,
Madelene Upcott,New Zealand,Milk Bars,22/10/2021,"$9,030 ",565,
Marney O'Breen,Australia,Eclairs,22/10/2021,$469 ,59,
Wilone O'Kielt,New Zealand,White Choc,22/10/2021,$805 ,68,
Van Tuxwell,UK,Manuka Honey Choco,22/10/2021,"$2,639 ",126,
Mallorie Waber,Australia,Orange Choco,22/10/2021,"$2,842 ",150,
Andria Kimpton,UK,70% Dark Bites,22/10/2021,"$2,625 ",375,
Gigi Bohling,USA,Mint Chip Choco,22/10/2021,"$4,543 ",325,
Kelci Walkden,UK,99% Dark & Pure,22/10/2021,"$18,907 ",840,
Gigi Bohling,Australia,Spicy Special Slims,22/10/2021,"$9,016 ",1120,
Jan Morforth,India,99% Dark & Pure,22/10/2021,"$10,815 ",451,
Jehu Rudeforth,USA,Raspberry Choco,22/10/2021,"$5,824 ",292,
Dotty Strutley,India,Raspberry Choco,22/10/2021,"$6,496 ",325,
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,22/10/2021,"$7,441 ",438,
Wilone O'Kielt,USA,Almond Choco,22/10/2021,"$8,799 ",629,
Mallorie Waber,Australia,99% Dark & Pure,22/10/2021,"$3,570 ",149,
Marney O'Breen,India,Raspberry Choco,22/10/2021,$721 ,37,
Roddy Speechley,Canada,Spicy Special Slims,25/10/2021,"$6,972 ",698,
Brien Boise,USA,Peanut Butter Cubes,25/10/2021,"$1,435 ",80,
Rafaelita Blaksland,UK,99% Dark & Pure,25/10/2021,"$6,678 ",279,
Madelene Upcott,New Zealand,70% Dark Bites,25/10/2021,"$3,647 ",521,
Barr Faughny,USA,99% Dark & Pure,25/10/2021,"$2,016 ",84,
Camilla Castle,Australia,Orange Choco,25/10/2021,"$11,655 ",648,
Jehu Rudeforth,USA,Milk Bars,25/10/2021,"$15,596 ",980,
Andria Kimpton,Canada,Caramel Stuffed Bars,25/10/2021,"$3,626 ",214,
Wilone O'Kielt,Canada,Smooth Sliky Salty,25/10/2021,"$4,312 ",700,
Madelene Upcott,USA,Fruit & Nut Bars,25/10/2021,"$7,042 ",441,
Kelci Walkden,UK,After Nines,25/10/2021,"$1,575 ",99,
Gunar Cockshoot,New Zealand,50% Dark Bites,26/10/2021,"$8,645 ",321,
Kelci Walkden,UK,Peanut Butter Cubes,26/10/2021,"$2,485 ",147,
Andria Kimpton,Australia,50% Dark Bites,26/10/2021,"$8,001 ",297,
Ches Bonnell,India,Eclairs,26/10/2021,"$9,107 ",1540,
Barr Faughny,Australia,Fruit & Nut Bars,26/10/2021,"$3,752 ",268,
Kaine Padly,Canada,Fruit & Nut Bars,26/10/2021,$518 ,37,
Rafaelita Blaksland,UK,Mint Chip Choco,26/10/2021,"$2,751 ",212,
Andria Kimpton,Canada,70% Dark Bites,26/10/2021,"$8,246 ",1050,
Camilla Castle,UK,50% Dark Bites,26/10/2021,"$11,620 ",465,
Barr Faughny,India,Peanut Butter Cubes,26/10/2021,"$11,578 ",610,
Jehu Rudeforth,India,Peanut Butter Cubes,26/10/2021,"$2,163 ",128,
Madelene Upcott,Canada,Milk Bars,26/10/2021,"$13,006 ",840,
Marney O'Breen,India,Milk Bars,26/10/2021,"$9,275 ",546,
Marney O'Breen,UK,85% Dark Bars,26/10/2021,$280 ,16,
Van Tuxwell,UK,99% Dark & Pure,26/10/2021,"$1,253 ",53,
Jan Morforth,New Zealand,Choco Coated Almonds,26/10/2021,"$3,262 ",272,
Camilla Castle,India,Drinking Coco,26/10/2021,"$4,907 ",189,
Rafaelita Blaksland,Australia,70% Dark Bites,26/10/2021,"$3,150 ",350,
Gigi Bohling,USA,85% Dark Bars,26/10/2021,"$13,426 ",672,
Barr Faughny,UK,Almond Choco,26/10/2021,"$9,947 ",700,
Mallorie Waber,Australia,After Nines,26/10/2021,"$4,704 ",262,
Karlen McCaffrey,USA,50% Dark Bites,26/10/2021,"$3,605 ",139,
Gigi Bohling,New Zealand,Choco Coated Almonds,26/10/2021,"$4,263 ",356,
Mallorie Waber,USA,Orange Choco,26/10/2021,"$4,921 ",247,
Beverie Moffet,Canada,Drinking Coco,26/10/2021,"$11,445 ",441,
Husein Augar,UK,Smooth Sliky Salty,26/10/2021,"$7,518 ",910,
Karlen McCaffrey,UK,Smooth Sliky Salty,26/10/2021,"$7,245 ",910,
Gunar Cockshoot,Canada,Choco Coated Almonds,26/10/2021,"$2,415 ",202,
Kelci Walkden,New Zealand,Organic Choco Syrup,26/10/2021,"$9,079 ",413,
Mallorie Waber,India,Smooth Sliky Salty,26/10/2021,"$1,673 ",279,
Ches Bonnell,Canada,Caramel Stuffed Bars,26/10/2021,$518 ,35,
Rafaelita Blaksland,Canada,Choco Coated Almonds,26/10/2021,"$2,758 ",276,
Husein Augar,UK,Fruit & Nut Bars,26/10/2021,"$2,296 ",144,
Jehu Rudeforth,Canada,Baker's Choco Chips,26/10/2021,"$1,890 ",79,
Jan Morforth,USA,Eclairs,26/10/2021,$518 ,87,
Karlen McCaffrey,Canada,Orange Choco,26/10/2021,$140 ,7,
Karlen McCaffrey,New Zealand,After Nines,26/10/2021,"$13,293 ",770,
Madelene Upcott,UK,Smooth Sliky Salty,26/10/2021,"$9,506 ",1610,
Van Tuxwell,USA,Spicy Special Slims,26/10/2021,"$12,222 ",1330,
Karlen McCaffrey,Canada,Almond Choco,26/10/2021,"$2,030 ",145,
Van Tuxwell,Australia,Peanut Butter Cubes,26/10/2021,"$4,235 ",236,
Karlen McCaffrey,Canada,Fruit & Nut Bars,26/10/2021,"$3,010 ",201,
Kaine Padly,Australia,Almond Choco,26/10/2021,"$5,656 ",378,
Jan Morforth,Canada,White Choc,26/10/2021,"$9,751 ",770,
Beverie Moffet,USA,Caramel Stuffed Bars,26/10/2021,"$6,412 ",378,
Brien Boise,Canada,Drinking Coco,26/10/2021,$420 ,16,
Oby Sorrel,Australia,85% Dark Bars,26/10/2021,"$5,635 ",282,
Gigi Bohling,USA,70% Dark Bites,26/10/2021,"$8,351 ",1190,
Brien Boise,New Zealand,Drinking Coco,26/10/2021,$364 ,15,
Madelene Upcott,UK,White Choc,27/10/2021,"$7,518 ",579,
Marney O'Breen,Australia,85% Dark Bars,27/10/2021,"$10,409 ",548,
Karlen McCaffrey,UK,Orange Choco,27/10/2021,"$2,303 ",116,
Roddy Speechley,New Zealand,Milk Bars,27/10/2021,"$9,331 ",584,
Curtice Advani,New Zealand,Raspberry Choco,27/10/2021,$392 ,18,
Camilla Castle,New Zealand,Eclairs,27/10/2021,"$1,568 ",262,
Roddy Speechley,Australia,Caramel Stuffed Bars,27/10/2021,"$5,033 ",297,
Jehu Rudeforth,Australia,Eclairs,27/10/2021,"$4,550 ",569,
Dennison Crosswaite,USA,Eclairs,27/10/2021,"$6,202 ",1050,
Oby Sorrel,USA,Choco Coated Almonds,27/10/2021,"$6,230 ",520,
Andria Kimpton,Canada,Drinking Coco,27/10/2021,"$5,376 ",200,
Rafaelita Blaksland,New Zealand,50% Dark Bites,27/10/2021,"$11,410 ",457,
Kaine Padly,New Zealand,Baker's Choco Chips,27/10/2021,"$3,192 ",133,
Kaine Padly,India,Peanut Butter Cubes,27/10/2021,"$4,886 ",272,
Jehu Rudeforth,Canada,Manuka Honey Choco,27/10/2021,"$3,304 ",151,
Barr Faughny,USA,Organic Choco Syrup,27/10/2021,$469 ,22,
Gunar Cockshoot,UK,70% Dark Bites,27/10/2021,"$3,304 ",368,
Husein Augar,USA,Drinking Coco,27/10/2021,"$4,375 ",175,
Jan Morforth,Australia,Organic Choco Syrup,27/10/2021,"$2,751 ",115,
Wilone O'Kielt,India,Fruit & Nut Bars,27/10/2021,"$7,896 ",494,
Kaine Padly,New Zealand,Raspberry Choco,27/10/2021,"$9,345 ",425,
Jehu Rudeforth,New Zealand,Eclairs,27/10/2021,"$5,355 ",910,
Mallorie Waber,Canada,Manuka Honey Choco,27/10/2021,$14 ,1,
Van Tuxwell,New Zealand,Smooth Sliky Salty,27/10/2021,"$5,460 ",683,
Beverie Moffet,India,85% Dark Bars,27/10/2021,"$1,141 ",64,
Kelci Walkden,UK,Drinking Coco,27/10/2021,"$1,932 ",75,
Wilone O'Kielt,India,Mint Chip Choco,27/10/2021,"$1,330 ",103,
Dotty Strutley,UK,Fruit & Nut Bars,27/10/2021,"$12,103 ",840,
Camilla Castle,India,White Choc,27/10/2021,"$6,643 ",511,
Van Tuxwell,Canada,99% Dark & Pure,27/10/2021,"$6,034 ",275,
Dennison Crosswaite,Australia,Almond Choco,27/10/2021,"$6,664 ",476,
Jehu Rudeforth,Canada,Almond Choco,27/10/2021,"$13,797 ",980,
Camilla Castle,New Zealand,Mint Chip Choco,27/10/2021,"$1,659 ",139,
Andria Kimpton,UK,Manuka Honey Choco,27/10/2021,"$1,890 ",83,
Beverie Moffet,UK,White Choc,27/10/2021,$112 ,10,
Kaine Padly,USA,White Choc,27/10/2021,$329 ,28,
Curtice Advani,Canada,Almond Choco,27/10/2021,"$10,829 ",677,
Husein Augar,Australia,70% Dark Bites,27/10/2021,"$8,302 ",1050,
Mallorie Waber,USA,Milk Bars,27/10/2021,"$4,123 ",243,
Dotty Strutley,Australia,Eclairs,27/10/2021,"$5,684 ",700,
Dotty Strutley,Australia,85% Dark Bars,27/10/2021,$581 ,31,
Andria Kimpton,Australia,Organic Choco Syrup,27/10/2021,"$1,869 ",78,
Ches Bonnell,India,After Nines,27/10/2021,"$6,881 ",405,
Dennison Crosswaite,Canada,Almond Choco,27/10/2021,"$1,554 ",98,
Camilla Castle,New Zealand,Manuka Honey Choco,27/10/2021,"$5,061 ",221,
Kaine Padly,UK,Manuka Honey Choco,27/10/2021,"$4,655 ",212,
Husein Augar,Australia,Caramel Stuffed Bars,27/10/2021,"$4,067 ",255,
Karlen McCaffrey,Canada,After Nines,27/10/2021,"$4,529 ",267,
Ches Bonnell,Australia,Spicy Special Slims,27/10/2021,"$19,159 ",2380,
Gigi Bohling,Australia,After Nines,27/10/2021,"$4,340 ",272,
Beverie Moffet,Canada,Milk Bars,27/10/2021,"$7,679 ",452,
Andria Kimpton,Canada,Smooth Sliky Salty,27/10/2021,$714 ,90,
Dotty Strutley,India,50% Dark Bites,27/10/2021,"$3,801 ",141,
Roddy Speechley,Australia,Smooth Sliky Salty,27/10/2021,"$6,461 ",840,
Marney O'Breen,USA,Organic Choco Syrup,27/10/2021,"$7,539 ",328,
Wilone O'Kielt,India,Choco Coated Almonds,27/10/2021,"$6,524 ",594,
Van Tuxwell,New Zealand,Peanut Butter Cubes,28/10/2021,"$7,721 ",455,
Dotty Strutley,USA,Baker's Choco Chips,28/10/2021,"$3,619 ",158,
Dotty Strutley,India,Almond Choco,28/10/2021,"$8,015 ",573,
Madelene Upcott,USA,99% Dark & Pure,28/10/2021,"$5,866 ",267,
Wilone O'Kielt,UK,Orange Choco,28/10/2021,"$2,835 ",158,
Karlen McCaffrey,New Zealand,Peanut Butter Cubes,28/10/2021,"$10,227 ",569,
Rafaelita Blaksland,USA,Choco Coated Almonds,28/10/2021,"$2,555 ",233,
Andria Kimpton,Canada,White Choc,28/10/2021,$77 ,7,
Barr Faughny,Canada,Fruit & Nut Bars,28/10/2021,"$5,138 ",343,
Dennison Crosswaite,New Zealand,After Nines,28/10/2021,"$6,930 ",408,
Jehu Rudeforth,New Zealand,50% Dark Bites,28/10/2021,"$5,817 ",233,
Curtice Advani,India,50% Dark Bites,28/10/2021,"$4,445 ",171,
Brien Boise,New Zealand,Orange Choco,28/10/2021,"$23,702 ",1190,
Jehu Rudeforth,Canada,Eclairs,28/10/2021,"$12,236 ",2030,
Curtice Advani,UK,After Nines,28/10/2021,"$13,244 ",840,
Wilone O'Kielt,India,Eclairs,28/10/2021,"$5,236 ",840,
Oby Sorrel,USA,Raspberry Choco,28/10/2021,$833 ,38,
Kaine Padly,UK,Organic Choco Syrup,28/10/2021,"$5,271 ",240,
Karlen McCaffrey,Canada,Manuka Honey Choco,28/10/2021,"$2,142 ",98,
Oby Sorrel,Australia,Fruit & Nut Bars,28/10/2021,"$12,733 ",770,
Gunar Cockshoot,USA,99% Dark & Pure,28/10/2021,$203 ,9,
Ches Bonnell,New Zealand,Fruit & Nut Bars,28/10/2021,$259 ,18,
Dennison Crosswaite,New Zealand,85% Dark Bars,28/10/2021,"$4,557 ",228,
Husein Augar,Canada,Choco Coated Almonds,28/10/2021,"$5,656 ",472,
Beverie Moffet,Canada,50% Dark Bites,28/10/2021,"$6,496 ",260,
Curtice Advani,USA,70% Dark Bites,28/10/2021,"$2,849 ",317,
Van Tuxwell,India,50% Dark Bites,28/10/2021,"$3,514 ",136,
Dotty Strutley,UK,Almond Choco,28/10/2021,"$4,438 ",278,
Oby Sorrel,Australia,Choco Coated Almonds,28/10/2021,"$1,904 ",191,
Rafaelita Blaksland,Australia,Milk Bars,28/10/2021,"$7,665 ",451,
Rafaelita Blaksland,Canada,Baker's Choco Chips,28/10/2021,"$13,671 ",570,
Madelene Upcott,Australia,Almond Choco,28/10/2021,"$13,244 ",840,
Barr Faughny,UK,99% Dark & Pure,28/10/2021,"$7,518 ",314,
Jehu Rudeforth,Australia,Mint Chip Choco,28/10/2021,"$6,650 ",555,
Camilla Castle,New Zealand,Baker's Choco Chips,28/10/2021,"$5,943 ",271,
Dotty Strutley,USA,Milk Bars,28/10/2021,"$14,154 ",910,
Curtice Advani,New Zealand,Peanut Butter Cubes,28/10/2021,"$11,508 ",606,
Karlen McCaffrey,India,Choco Coated Almonds,28/10/2021,"$6,300 ",630,
Van Tuxwell,Australia,White Choc,29/10/2021,$315 ,27,
Dennison Crosswaite,Canada,Caramel Stuffed Bars,29/10/2021,"$1,022 ",64,
Oby Sorrel,New Zealand,White Choc,29/10/2021,"$3,850 ",321,
Oby Sorrel,Canada,Spicy Special Slims,29/10/2021,"$1,841 ",185,
Camilla Castle,UK,Spicy Special Slims,29/10/2021,"$2,191 ",274,
Barr Faughny,UK,Choco Coated Almonds,29/10/2021,"$5,943 ",595,
Barr Faughny,New Zealand,Raspberry Choco,29/10/2021,"$5,635 ",282,
Gigi Bohling,India,Almond Choco,29/10/2021,$350 ,22,
Wilone O'Kielt,USA,Mint Chip Choco,29/10/2021,"$10,500 ",770,
Roddy Speechley,India,Peanut Butter Cubes,29/10/2021,"$9,107 ",506,
Ches Bonnell,New Zealand,Baker's Choco Chips,29/10/2021,"$1,169 ",51,
Dennison Crosswaite,India,Manuka Honey Choco,29/10/2021,"$2,191 ",96,
Kelci Walkden,New Zealand,Milk Bars,29/10/2021,"$6,475 ",432,
Barr Faughny,Australia,Organic Choco Syrup,29/10/2021,"$2,751 ",126,
Gunar Cockshoot,UK,Spicy Special Slims,29/10/2021,"$3,346 ",372,
Camilla Castle,Canada,70% Dark Bites,01/11/2021,"$5,124 ",570,
Jehu Rudeforth,UK,Organic Choco Syrup,01/11/2021,$168 ,7,
Ches Bonnell,USA,Fruit & Nut Bars,01/11/2021,"$7,252 ",454,
Rafaelita Blaksland,India,99% Dark & Pure,01/11/2021,"$5,243 ",228,
Dotty Strutley,New Zealand,Almond Choco,01/11/2021,"$3,248 ",203,
Wilone O'Kielt,New Zealand,50% Dark Bites,01/11/2021,"$5,397 ",200,
Brien Boise,Australia,Mint Chip Choco,01/11/2021,"$5,117 ",394,
Oby Sorrel,Australia,Eclairs,01/11/2021,$231 ,29,
Wilone O'Kielt,USA,Baker's Choco Chips,01/11/2021,"$6,503 ",283,
Roddy Speechley,UK,Orange Choco,01/11/2021,"$10,717 ",536,
Wilone O'Kielt,UK,50% Dark Bites,01/11/2021,"$7,917 ",305,
Camilla Castle,India,Orange Choco,01/11/2021,"$15,764 ",910,
Husein Augar,Canada,Fruit & Nut Bars,01/11/2021,"$11,340 ",770,
Beverie Moffet,New Zealand,85% Dark Bars,01/11/2021,"$5,530 ",292,
Van Tuxwell,New Zealand,70% Dark Bites,01/11/2021,"$2,149 ",239,
Dennison Crosswaite,Canada,Mint Chip Choco,02/11/2021,"$1,855 ",155,
Brien Boise,Australia,99% Dark & Pure,02/11/2021,"$6,174 ",269,
Mallorie Waber,UK,Baker's Choco Chips,02/11/2021,"$9,814 ",447,
Rafaelita Blaksland,India,Peanut Butter Cubes,02/11/2021,"$10,220 ",602,
Jan Morforth,Australia,Eclairs,02/11/2021,$294 ,49,
Dotty Strutley,UK,Choco Coated Almonds,02/11/2021,"$9,226 ",910,
Curtice Advani,Australia,50% Dark Bites,02/11/2021,"$8,701 ",349,
Dotty Strutley,Canada,Raspberry Choco,02/11/2021,"$6,139 ",307,
Husein Augar,India,Raspberry Choco,02/11/2021,"$3,675 ",175,
Karlen McCaffrey,India,Eclairs,02/11/2021,"$10,164 ",1470,
Kelci Walkden,Australia,After Nines,02/11/2021,"$16,751 ",980,
Jehu Rudeforth,UK,Raspberry Choco,02/11/2021,"$14,476 ",700,
Camilla Castle,Australia,Spicy Special Slims,02/11/2021,"$8,883 ",980,
Ches Bonnell,Australia,50% Dark Bites,02/11/2021,"$4,991 ",185,
Karlen McCaffrey,UK,Caramel Stuffed Bars,02/11/2021,"$10,213 ",601,
Dotty Strutley,USA,Eclairs,02/11/2021,"$11,557 ",1960,
Brien Boise,USA,Almond Choco,02/11/2021,"$5,110 ",320,
Mallorie Waber,Canada,Baker's Choco Chips,02/11/2021,"$5,740 ",250,
Van Tuxwell,Canada,White Choc,02/11/2021,"$15,295 ",1190,
Brien Boise,Australia,Peanut Butter Cubes,02/11/2021,"$2,737 ",153,
Dotty Strutley,USA,Mint Chip Choco,02/11/2021,"$1,946 ",150,
Andria Kimpton,Australia,Peanut Butter Cubes,02/11/2021,"$8,232 ",434,
Gunar Cockshoot,India,Choco Coated Almonds,02/11/2021,$637 ,64,
Roddy Speechley,Australia,85% Dark Bars,02/11/2021,"$9,681 ",510,
Wilone O'Kielt,New Zealand,Smooth Sliky Salty,02/11/2021,"$13,048 ",2170,
Andria Kimpton,UK,Mint Chip Choco,02/11/2021,"$1,106 ",86,
Wilone O'Kielt,USA,Drinking Coco,02/11/2021,"$5,656 ",218,
Kelci Walkden,UK,White Choc,02/11/2021,$693 ,63,
Brien Boise,USA,Spicy Special Slims,02/11/2021,"$10,143 ",1260,
Kaine Padly,USA,Fruit & Nut Bars,02/11/2021,"$2,058 ",147,
Van Tuxwell,USA,Organic Choco Syrup,02/11/2021,"$9,331 ",389,
Andria Kimpton,UK,Choco Coated Almonds,02/11/2021,"$2,870 ",240,
Oby Sorrel,UK,Drinking Coco,02/11/2021,"$2,163 ",84,
Van Tuxwell,UK,Raspberry Choco,02/11/2021,"$10,241 ",466,
Brien Boise,UK,Organic Choco Syrup,02/11/2021,"$1,134 ",50,
Curtice Advani,Australia,Baker's Choco Chips,02/11/2021,"$2,814 ",118,
Ches Bonnell,UK,Drinking Coco,02/11/2021,"$14,609 ",585,
Andria Kimpton,New Zealand,99% Dark & Pure,02/11/2021,"$9,058 ",394,
Marney O'Breen,New Zealand,Organic Choco Syrup,02/11/2021,"$4,711 ",197,
Van Tuxwell,USA,Orange Choco,02/11/2021,"$2,310 ",116,
Gigi Bohling,Canada,Smooth Sliky Salty,02/11/2021,"$3,668 ",612,
Dotty Strutley,India,Mint Chip Choco,02/11/2021,"$8,379 ",599,
Marney O'Breen,Australia,Drinking Coco,02/11/2021,"$7,868 ",303,
Marney O'Breen,Canada,Fruit & Nut Bars,02/11/2021,"$3,535 ",221,
Gigi Bohling,Australia,Fruit & Nut Bars,02/11/2021,"$4,277 ",286,
Roddy Speechley,USA,Almond Choco,02/11/2021,"$1,890 ",135,
Dotty Strutley,Canada,Choco Coated Almonds,02/11/2021,"$2,149 ",196,
Curtice Advani,India,Caramel Stuffed Bars,02/11/2021,$595 ,35,
Husein Augar,UK,Caramel Stuffed Bars,02/11/2021,"$4,438 ",262,
Karlen McCaffrey,UK,85% Dark Bars,02/11/2021,"$2,863 ",151,
Wilone O'Kielt,Australia,Milk Bars,02/11/2021,"$5,964 ",373,
Gunar Cockshoot,Canada,Baker's Choco Chips,02/11/2021,"$5,341 ",243,
Camilla Castle,USA,Manuka Honey Choco,02/11/2021,"$10,556 ",480,
Curtice Advani,UK,White Choc,02/11/2021,"$7,476 ",576,
Karlen McCaffrey,USA,Almond Choco,02/11/2021,$210 ,14,
Wilone O'Kielt,UK,After Nines,02/11/2021,"$2,611 ",154,
Curtice Advani,Australia,Raspberry Choco,02/11/2021,$812 ,41,
Ches Bonnell,USA,99% Dark & Pure,02/11/2021,"$6,853 ",312,
Karlen McCaffrey,Canada,Peanut Butter Cubes,02/11/2021,"$9,632 ",567,
Jan Morforth,USA,50% Dark Bites,02/11/2021,"$2,163 ",87,
Mallorie Waber,Australia,Spicy Special Slims,02/11/2021,$280 ,28,
Dotty Strutley,Australia,Almond Choco,02/11/2021,$140 ,10,
Camilla Castle,Australia,Choco Coated Almonds,03/11/2021,"$3,388 ",308,
Marney O'Breen,Canada,70% Dark Bites,03/11/2021,"$2,723 ",389,
Marney O'Breen,Australia,70% Dark Bites,03/11/2021,"$14,826 ",2100,
Husein Augar,New Zealand,50% Dark Bites,03/11/2021,$371 ,14,
Beverie Moffet,USA,99% Dark & Pure,03/11/2021,"$7,182 ",327,
Karlen McCaffrey,USA,Organic Choco Syrup,03/11/2021,"$10,941 ",498,
Rafaelita Blaksland,Canada,Raspberry Choco,03/11/2021,"$5,523 ",252,
Marney O'Breen,UK,Peanut Butter Cubes,03/11/2021,"$7,623 ",402,
